"strain","meropenem_MIC","meropenem_MIC_clean"
"ERR1204814","8",8
"ERR1204815","0.12",0.12
"ERR1204817","8",8
"ERR1204820","2",2
"ERR1204821",">32",48
"ERR1204822",">32",48
"ERR1204823","≤0.06",0.06
"ERR1204824","≤0.06",0.06
"ERR1204825","≤0.06",0.06
"ERR1204826","16",16
"ERR1204827",">32",48
"ERR1204828","≤0.06",0.06
"ERR1204829",">32",48
"ERR1204830","≤0.06",0.06
"ERR1204831","≤0.06",0.06
"ERR1204832","0.5",0.5
"ERR1204834","≤0.06",0.06
"ERR1204835","4",4
"ERR1204836","0.25",0.25
"ERR1204837","≤0.06",0.06
"ERR1204839","≤0.06",0.06
"ERR1204840","≤0.06",0.06
"ERR1204842","≤0.06",0.06
"ERR1204843","≤0.06",0.06
"ERR1204844","≤0.06",0.06
"ERR1204845","1",1
"ERR1204846","≤0.06",0.06
"ERR1204847","0.12",0.12
"ERR1204848","≤0.06",0.06
"ERR1204849","≤0.06",0.06
"ERR1204850","≤0.06",0.06
"ERR1204851","4",4
"ERR1204852","0.12",0.12
"ERR1204854","0.12",0.12
"ERR1204855","0.12",0.12
"ERR1204856","0.5",0.5
"ERR1204857","≤0.06",0.06
"ERR1204858","≤0.06",0.06
"ERR1204859","2",2
"ERR1204860","≤0.06",0.06
"ERR1204861","≤0.06",0.06
"ERR1204862","0.12",0.12
"ERR1204863","≤0.06",0.06
"ERR1204864","16",16
"ERR1204865","8",8
"ERR1204866",">32",48
"ERR1204867","≤0.06",0.06
"ERR1204868","≤0.06",0.06
"ERR1204869","≤0.06",0.06
"ERR1204870","≤0.06",0.06
"ERR1204871","0.25",0.25
"ERR1204873","0.12",0.12
"ERR1204875","≤0.06",0.06
"ERR1204876","≤0.06",0.06
"ERR1204877","1",1
"ERR1204878","≤0.06",0.06
"ERR1204879","2",2
"ERR1204881","≤0.06",0.06
"ERR1204882","≤0.06",0.06
"ERR1204883","1",1
"ERR1204885","≤0.06",0.06
"ERR1204886","≤0.06",0.06
"ERR1204889","≤0.06",0.06
"ERR1204890","≤0.06",0.06
"ERR1204892","2",2
"ERR1204894","≤0.06",0.06
"ERR1204895","0.12",0.12
"ERR1204899","≤0.06",0.06
"ERR1204902","≤0.06",0.06
"ERR1204905","≤0.06",0.06
"ERR1204906","4",4
"ERR1204907","≤0.06",0.06
"ERR1204908","≤0.06",0.06
"ERR1204909","≤0.06",0.06
"ERR1204910","2",2
"ERR1204911","2",2
"ERR1204912","≤0.06",0.06
"ERR1204913","≤0.06",0.06
"ERR1204914","≤0.06",0.06
"ERR1204915","≤0.06",0.06
"ERR1204916","≤0.06",0.06
"ERR1204917","≤0.06",0.06
"ERR1204918",">32",48
"ERR1204920","≤0.06",0.06
"ERR1204921","≤0.06",0.06
"ERR1204922","4",4
"ERR1204923","≤0.06",0.06
"ERR1204924","≤0.06",0.06
"ERR1204926","≤0.06",0.06
"ERR1204927","8",8
"ERR1204928","≤0.06",0.06
"ERR1204929","1",1
"ERR1204930","4",4
"ERR1204931","4",4
"ERR1204932","≤0.06",0.06
"ERR1204933","≤0.06",0.06
"ERR1204934","2",2
"ERR1204935","≤0.06",0.06
"ERR1204936","0.5",0.5
"ERR1204937","≤0.06",0.06
"ERR1204938","8",8
"ERR1204940","≤0.06",0.06
"ERR1204941","≤0.06",0.06
"ERR1204942","≤0.06",0.06
"ERR1204944","32",32
"ERR1204946","2",2
"ERR1204947","≤0.06",0.06
"ERR1204948","1",1
"ERR1204949","≤0.06",0.06
"ERR1204950","0.12",0.12
"ERR1204951","8",8
"ERR1204955","≤0.06",0.06
"ERR1204956","2",2
"ERR1204957","0.12",0.12
"ERR1204958","≤0.06",0.06
"ERR1204959","≤0.06",0.06
"ERR1204960","0.5",0.5
"ERR1204962","0.12",0.12
"ERR1204966","≤0.06",0.06
"ERR1204967","≤0.06",0.06
"ERR1204969","≤0.06",0.06
"ERR1204970","2",2
"ERR1204971","≤0.06",0.06
"ERR1204972",">32",48
"ERR1204973",">32",48
"ERR1204974","≤0.06",0.06
"ERR1204975","≤0.06",0.06
"ERR1204976","≤0.06",0.06
"ERR1204977","32",32
"ERR1204984","4",4
"ERR1204989","0.5",0.5
"ERR1204990","2",2
"ERR1204991","0.5",0.5
"ERR1204993","≤0.06",0.06
"ERR1204994","≤0.06",0.06
"ERR1204997","16",16
"ERR1204999","≤0.06",0.06
"ERR1205000","2",2
"ERR1205001","0.25",0.25
"ERR1205002","≤0.06",0.06
"ERR1205003","0.12",0.12
"ERR1205004","≤0.06",0.06
"ERR1205009","0.25",0.25
"ERR1205010","1",1
"ERR1205011","0.12",0.12
"ERR1205013","0.25",0.25
"ERR1205015","8",8
"ERR1205018","8",8
"ERR1205019","≤0.06",0.06
"ERR1205020","0.12",0.12
"ERR1205021","≤0.06",0.06
"ERR1205022","4",4
"ERR1205023","2",2
"ERR1205024","0.25",0.25
"ERR1205028",">32",48
"ERR1205029","≤0.06",0.06
"ERR1205030","≤0.06",0.06
"ERR1205031","2",2
"ERR1205033","0.12",0.12
"ERR1205034","16",16
"ERR1205035","8",8
"ERR1205036","8",8
"ERR1205039","≤0.06",0.06
"ERR1205040","0.12",0.12
"ERR1205041","≤0.06",0.06
"ERR1205043","0.12",0.12
"ERR1205048","2",2
"ERR1205049","8",8
"ERR1205055","≤0.06",0.06
"ERR1205056","≤0.06",0.06
"ERR1205058","≤0.06",0.06
"ERR1205059","≤0.06",0.06
"ERR1205061","≤0.06",0.06
"ERR1205063","0.5",0.5
"ERR1205064","2",2
"ERR1205073","4",4
"ERR1205076","≤0.06",0.06
"ERR1216950","≤0.06",0.06
"ERR1216951","2",2
"ERR1216955","≤0.06",0.06
"ERR1216956","16",16
"ERR1216957","≤0.06",0.06
"ERR1216958","1",1
"ERR1216959",">32",48
"ERR1216961","≤0.06",0.06
"ERR1216962",">32",48
"ERR1216963","1",1
"ERR1216965","32",32
"ERR1216966","1",1
"ERR1216967","≤0.06",0.06
"ERR1216969","8",8
"ERR1216970",">32",48
"ERR1216973","≤0.06",0.06
"ERR1216975","≤0.06",0.06
"ERR1216978","1",1
"ERR1216980","1",1
"ERR1216981","4",4
"ERR1216982","0.12",0.12
"ERR1216984","2",2
"ERR1216985","≤0.06",0.06
"ERR1216987","≤0.06",0.06
"ERR1216989","1",1
"ERR1216991","≤0.06",0.06
"ERR1216992","≤0.06",0.06
"ERR1216993","4",4
"ERR1216996","≤0.06",0.06
"ERR1216997","8",8
"ERR1216999","0.25",0.25
"ERR1217000","≤0.06",0.06
"ERR1217001","4",4
"ERR1217003","2",2
"ERR1217005","8",8
"ERR1217013","1",1
"ERR1217015","0.5",0.5
"ERR1217019","16",16
"ERR1217021","8",8
"ERR1217022","1",1
"ERR1217023","16",16
"ERR1217025","1",1
"ERR1217026","≤0.06",0.06
"ERR1217027","≤0.06",0.06
"ERR1217028","≤0.06",0.06
"ERR1217029","≤0.06",0.06
"ERR1217030","≤0.06",0.06
"ERR1217031","≤0.06",0.06
"ERR1217033","≤0.06",0.06
"ERR1217035","≤0.06",0.06
"ERR1217038","≤0.06",0.06
"ERR1217040","≤0.06",0.06
"ERR1217041","16",16
"ERR1217053","≤0.06",0.06
"ERR1217054","0.5",0.5
"ERR1217058","1",1
"ERR1217059","2",2
"ERR1217060","2",2
"ERR1217062","2",2
"ERR1217063","0.12",0.12
"ERR1217065","0.12",0.12
"ERR1217066","2",2
"ERR1217067","≤0.06",0.06
"ERR1217068","2",2
"ERR1217070","2",2
"ERR1217071","≤0.06",0.06
"ERR1217072","≤0.06",0.06
"ERR1217073","2",2
"ERR1217076","≤0.06",0.06
"ERR1217077","≤0.06",0.06
"ERR1217080","2",2
"ERR1217081","0.12",0.12
"ERR1217083","≤0.06",0.06
"ERR1217084","≤0.06",0.06
"ERR1217085","≤0.06",0.06
"ERR1217086","0.12",0.12
"ERR1217090",">32",48
"ERR1217091","≤0.06",0.06
"ERR1217092","≤0.06",0.06
"ERR1217093","≤0.06",0.06
"ERR1217095",">32",48
"ERR1217097","32",32
"ERR1217098","32",32
"ERR1217100","≤0.06",0.06
"ERR1217101","≤0.06",0.06
"ERR1217102","≤0.06",0.06
"ERR1217103",">32",48
"ERR1217104","≤0.06",0.06
"ERR1217105",">32",48
"ERR1217106",">32",48
"ERR1217107","≤0.06",0.06
"ERR1217109",">32",48
"ERR1217110","≤0.06",0.06
"ERR1217111","≤0.06",0.06
"ERR1217113","≤0.06",0.06
"ERR1217114",">32",48
"ERR1217117",">32",48
"ERR1217118",">32",48
"ERR1217119","≤0.06",0.06
"ERR1217120","≤0.06",0.06
"ERR1217122","≤0.06",0.06
"ERR1217124",">32",48
"ERR1217125",">32",48
"ERR1217127","32",32
"ERR1217128","≤0.06",0.06
"ERR1217129","2",2
"ERR1217130","≤0.06",0.06
"ERR1217131",">32",48
"ERR1217132","≤0.06",0.06
"ERR1217133","≤0.06",0.06
"ERR1217134","2",2
"ERR1217138","≤0.06",0.06
"ERR1217139","≤0.06",0.06
"ERR1217140","0.5",0.5
"ERR1217141","4",4
"ERR1217142",">32",48
"ERR1217143",">32",48
"ERR1217144",">32",48
"ERR1217145","≤0.06",0.06
"ERR1217146","32",32
"ERR1217147",">32",48
"ERR1217149","≤0.06",0.06
"ERR1217150","≤0.06",0.06
"ERR1217151","≤0.06",0.06
