strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR1204814	Klebsiella pneumoniae	strong	122	270344	668540	5569235	no	-	ST11	1	1	10	15	ybt 10; ICEKp4 (truncated)	19-1LV	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	none	Very high	99.88%		O4	O4	-	High	99.64%	O4_06_glycosyltransferase	aac(6')-Ib-cr.v2;aadA16*;aph3-Ia.v1^	-	-	qnrB4	-	mphA	catA1^;catB3.v2	arr-3	sul1;sul1	tet(A).v1*	-	dfrA27	DHA-1;OXA-1	-	CTX-M-15	-	-	SHV-11	35Q	OmpK36-21%	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	16	12	4	3	3	424*-85%	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204815	Klebsiella pneumoniae	strong	78	668523	1338673	5538824	no	-	ST11	0	0	5	6	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	none	Very high	99.78%		O4	O4	none	Very high	99.65%		aph3-Ia.v1^	-	-	qnrB4	-	-	catA1^	-	sul1;sul1	-	-	-	DHA-1	-	-	-	-	SHV-11	35Q	OmpK35-40%	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204816	Klebsiella variicola subsp. variicola	strong	149	280957	723900	5890001	no	-	ST1148	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	-	KL64	K64	*	High	93.30%		O3/O3a	O3/O3a	none	Very high	99.26%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-2^	-	-	-	-	-	-	ST1148	16	18	21	27	47	22	75	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204817	Klebsiella pneumoniae	strong	117	350956	668540	5570686	no	-	ST11	1	1	10	15	ybt 10; ICEKp4 (truncated)	19-1LV	-	0	-	0	-	0	-	0	-	wzi50	KL15	K15	none	Very high	99.88%		O4	O4	-	High	99.64%	O4_06_glycosyltransferase	aac(6')-Ib-cr.v2;aadA16*;aph3-Ia.v1^	-	-	qnrB4	-	mphA	catA1^;catB3.v2	arr-3	sul1;sul1	tet(A).v1*	-	dfrA27	DHA-1;OXA-1	-	CTX-M-15	-	-	SHV-11	35Q	OmpK36-21%	-	GyrA-83I;ParC-80I	-	-	ST11	3	3	1	1	1	1	4	16	12	4	3	3	424*-85%	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204820	Klebsiella pneumoniae	strong	99	273246	1309913	5522507	no	-	ST1243	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi23	KL14	K14	none	Very high	99.73%		O3b	O3b	none	Very high	98.99%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	OmpK36-39%	-	-	-	-	ST1243	76	1	2	1	7	4	224	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204821	Klebsiella pneumoniae	strong	174	219140	523923	5730555	no	-	ST512	0	3	9	9	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	99.98%		O1/O2v2	O2afg	none	Very high	98.37%		aac(6')-Ib'.v1;aadA2;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-3	SHV-11	35Q	OmpK35-25%;OmpK36GD	MgrB-0%	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST512	54	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204822	Klebsiella pneumoniae	strong	173	225056	523923	5627051	no	-	ST512	0	3	9	9	-	0	-	0	-	0	-	0	-	0	-	wzi154	KL107	unknown (KL107)	none	Very high	100.00%		O1/O2v2	O2afg	none	Very high	98.37%		aac(6')-Ib'.v1;aadA2^;aph3-Ia.v1^	-	-	-	-	mphA	catA1^	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	KPC-3	SHV-11	35Q	OmpK35-25%;OmpK36GD	MgrB-51%	GyrA-83I;ParC-80I	OXA-9.v1*-42%	-	ST512	54	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204823	Klebsiella pneumoniae	strong	54	452854	1420069	5216111	no	-	ST294	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi274	KL30	K30	none	Very high	99.12%		O1/O2v1	O1ab	none	Very high	99.90%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	-	-	ST294	2	1	2	1	4	4	87	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204824	Klebsiella pneumoniae	strong	141	216812	619453	5494371	no	-	ST12	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi162	KL122	unknown (KL122)	none	Very high	99.95%		O1/O2v2	O2afg	none	Very high	98.48%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	35Q	-	-	-	-	-	ST12	6	3	1	1	12	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR1204825	Klebsiella pneumoniae	strong	56	371630	1213360	5609783	no	-	ST323	0	0	0	0	-	0	-	0	-	0	-	0	-	0	-	wzi262	KL21	K21	none	Perfect	100.00%		O3b	O3b	none	Very high	99.19%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	-	fosA7*-15%	-	ST323	2	1	1	1	9	1	93	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
